2025-02-27 18:47:06,082 - INFO - Detected 12 anomalies:
2025-02-27 23:20:10,786 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:21.998469632, Src IP: 192.168.1.73, Dst IP: 142.250.150.94, Length: 1292
2025-02-27 23:20:10,788 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.029902336, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 1296
2025-02-27 23:20:10,791 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.056708608, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 354
2025-02-27 23:20:10,792 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.073706752, Src IP: 192.168.1.73, Dst IP: 142.250.150.94, Length: 1292
2025-02-27 23:20:10,794 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.100307200, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 1296
2025-02-27 23:20:10,794 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.150363648, Src IP: 192.168.1.73, Dst IP: 142.250.150.94, Length: 1292
2025-02-27 23:20:10,795 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.177611008, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 1296
2025-02-27 23:20:10,796 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.191649024, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 1087
2025-02-27 23:20:10,797 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.229153280, Src IP: 192.168.1.73, Dst IP: 142.250.150.94, Length: 1292
2025-02-27 23:20:10,798 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.261691648, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 1296
2025-02-27 23:20:10,798 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.309168896, Src IP: 192.168.1.73, Dst IP: 142.250.150.94, Length: 1292
2025-02-27 23:20:10,799 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.351181312, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 1296
2025-02-27 23:20:10,800 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.364169728, Src IP: 192.168.1.73, Dst IP: 142.250.150.94, Length: 410
2025-02-27 23:20:10,801 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.379209984, Src IP: 142.250.150.94, Dst IP: 192.168.1.73, Length: 414
2025-02-27 23:20:10,803 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.396794880, Src IP: 192.168.1.254, Dst IP: 192.168.1.73, Length: 187
2025-02-27 23:20:10,804 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.398796288, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,806 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.406230016, Src IP: 34.120.195.249, Dst IP: 192.168.1.73, Length: 1292
2025-02-27 23:20:10,807 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.409212672, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
2025-02-27 23:20:10,808 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.561540096, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1060
2025-02-27 23:20:10,809 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:22.584571136, Src IP: 34.120.195.249, Dst IP: 192.168.1.73, Length: 332
2025-02-27 23:20:10,810 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.415775488, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1288
2025-02-27 23:20:10,810 - INFO - Anomaly detected - Timestamp: 2025-02-27 20:12:24.416772608, Src IP: 192.168.1.73, Dst IP: 34.120.195.249, Length: 1292
